0,0,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0
1.4,1.4,90
-1.4,1.4,180
-1.4,-1.4,270
1.4,-1.4,0

